2015,3.1,8.2,14.3,23.2,51.1
2014,3.1,8.2,14.3,23.2,51.2
2013 (39),3.1,8.2,14.3,23.0,51.4
2013 (38),3.2,8.4,14.4,23.0,51.0
2012,3.2,8.3,14.4,23.0,51.0
2011,3.2,8.4,14.3,23.0,51.1
2010 (37),3.3,8.5,14.6,23.4,50.3
2009 (36),3.4,8.6,14.6,23.2,50.3
2008,3.4,8.6,14.7,23.3,50.0
2007,3.4,8.7,14.8,23.4,49.7
2006,3.4,8.6,14.5,22.9,50.5
2005,3.4,8.6,14.6,23.0,50.4
2004 (35),3.4,8.7,14.7,23.2,50.1
2003,3.4,8.7,14.8,23.4,49.8
2002,3.5,8.8,14.8,23.3,49.7
2001,3.5,8.7,14.6,23.0,50.1
2000 (30),3.6,8.9,14.8,23.0,49.8
1999 (29),3.6,8.9,14.9,23.2,49.4
1998,3.6,9.0,15.0,23.2,49.2
1997,3.6,8.9,15.0,23.2,49.4
1996,3.6,9.0,15.1,23.3,49.0
1995 (25),3.7,9.1,15.2,23.3,48.7
1994 (24),3.6,8.9,15.0,23.4,49.1
1993 (23),3.6,9.0,15.1,23.5,48.9
1992 (22),3.8,9.4,15.8,24.2,46.9
1991,3.8,9.6,15.9,24.2,46.5
1990,3.8,9.6,15.9,24.0,46.6
1989,3.8,9.5,15.8,24.0,46.8
1988,3.8,9.6,16.0,24.2,46.3
1987 (21),3.8,9.6,16.1,24.3,46.2
1986,3.8,9.7,16.2,24.3,46.1
1985 (20),3.9,9.8,16.2,24.4,45.6
1984,4.0,9.9,16.3,24.6,45.2
1983 (19),4.0,9.9,16.4,24.6,45.1
1982,4.0,10.0,16.5,24.5,45.0
1981,4.1,10.1,16.7,24.8,44.3
1980,4.2,10.2,16.8,24.7,44.1
1979 (18),4.1,10.2,16.8,24.6,44.2
1978,4.2,10.2,16.8,24.7,44.1
1977,4.2,10.2,16.9,24.7,44.0
1976 (17),4.3,10.3,17.0,24.7,43.7
1975 (16),4.3,10.4,17.0,24.7,43.6
1974 (16)(15),4.3,10.6,17.0,24.6,43.5
1973,4.2,10.4,17.0,24.5,43.9
1972 (14),4.1,10.4,17.0,24.5,43.9
1971 (13),4.1,10.6,17.3,24.5,43.5
1970,4.1,10.8,17.4,24.5,43.3
1969,4.1,10.9,17.5,24.5,43.0
1968,4.2,11.1,17.6,24.5,42.6
1967 (12),4.0,10.8,17.3,24.2,43.6
